Year,Month,FIPS,Beverage,Gallons,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
2017,1,02,1,103645,42598,594304,0.0717,,
2017,1,08,1,733857,301615,4639112,0.065,,
2017,1,09,1,412100,169373,3017061,0.0561,,
2017,1,10,1,180388,74139,800398,0.0926,,
2017,1,12,1,2770686,1138752,17733837,0.0642,,
2017,1,17,1,1044642,429348,10556641,0.0407,,
2017,1,21,1,779156,320233,3673550,0.0872,,
2017,1,25,1,520076,213751,5818331,0.0367,,
2017,1,27,1,833970,342762,4557796,0.0752,,
2017,1,29,1,633870,260521,5041595,0.0517,,
2017,1,38,1,123893,50920,614810,0.0828,,
2017,1,47,1,1220401,501585,5550966,0.0904,,
2017,1,48,1,4141099,1701992,22564943,0.0754,,
2017,1,02,2,140499,18124,594304,0.0305,,
2017,1,08,2,1146987,147961,4639112,0.0319,,
2017,1,09,2,794732,102520,3017061,0.034,,
2017,1,10,2,253854,32747,800398,0.0409,,
2017,1,12,2,5987405,772375,17733837,0.0436,,
2017,1,17,2,2113935,272698,10556641,0.0258,,
2017,1,21,2,736522,95011,3673550,0.0259,,
2017,1,25,2,1342858,173229,5818331,0.0298,,
2017,1,27,2,978486,126225,4557796,0.0277,,
2017,1,29,2,972384,125437,5041595,0.0249,,
2017,1,38,2,96753,12481,614810,0.0203,,
2017,1,47,2,1634857,210897,5550966,0.038,,
2017,1,48,2,6021965,776833,22564943,0.0344,,
2017,1,02,3,787407,35433,594304,0.0596,,
2017,1,08,3,8181014,368146,4639112,0.0794,,
2017,1,09,3,3450020,155251,3017061,0.0515,,
2017,1,10,3,1152239,51851,800398,0.0648,,
2017,1,12,3,30220321,1359914,17733837,0.0767,,
2017,1,17,3,15922784,716525,10556641,0.0679,,
2017,1,21,3,5959564,268180,3673550,0.073,,
2017,1,25,3,8185604,368352,5818331,0.0633,,
2017,1,27,3,8161461,367266,4557796,0.0806,,
2017,1,29,3,9474397,426348,5041595,0.0846,,
2017,1,38,3,1480113,66605,614810,0.1083,,
2017,1,47,3,8237299,370678,5550966,0.0668,,
2017,1,48,3,52609593,2367432,22564943,0.1049,,
2017,1,02,4,,96156,594304,0.1618,,
2017,1,08,4,,817722,4639112,0.1763,,
2017,1,09,4,,427144,3017061,0.1416,,
2017,1,10,4,,158737,800398,0.1983,,
2017,1,12,4,,3271041,17733837,0.1845,,
2017,1,17,4,,1418571,10556641,0.1344,,
2017,1,21,4,,683425,3673550,0.186,,
